_________TABLICA NR 1_________
28: i : 1
29: i : 1
30: i : 1
31: i : 1
32: i : 1
33: i : 1
34: i : 2
35: i : 2
36: i : 2
37: i : 2
38: i : 3
39: i : 3
40: i : 4
41: i : 4
42: i : 4
43: i : 4
44: i : 4
45: i : 4
46: i : 4
47: i : 4
48: i : 4
49: i : 4
50: d : 2.065787
51: d : 1.964777
52: d : 0.222981
53: d : 0.152382
54: d : -0.121686
55: d : -0.616521
56: d : -1.227489
57: d : -1.842014
58: d : -2.414519
59: d : -2.880204
60: d : -2.929342
61: d : -3.249841
62: d : -3.351345
63: d : -3.370508
64: d : -3.380119
65: d : -3.423004
66: d : -3.426884
67: d : -3.619754
68: d : -3.642959
69: d : -3.725314
70: d : -3.729802
71: d : -3.915745
72: d : -3.943655
73: d : -4.010871
74: d : -4.011423
75: d : -4.071864
76: d : -4.095226
77: d : -4.116494
78: d : -4.224852
79: d : -4.225401
80: d : -4.255096
81: d : -4.343432
82: d : -4.374892
83: d : -4.448384
84: d : -4.463761
85: d : -4.512030
86: d : -4.541681
87: d : -4.550073
88: d : -4.551102
89: d : -4.563573
90: d : -4.634447
91: d : -4.639492
92: d : -4.660107
93: d : -4.662100
94: d : -4.681491
95: d : -4.785489
96: d : -4.835491
97: d : -4.836983
98: d : -4.842597
99: d : -4.993624
_________TABLICA NR 4_________
0: i : -5
1: i : -5
2: i : -5
3: i : -4
4: i : -4
5: i : -4
6: i : -4
7: i : -4
8: i : -4
9: i : -3
10: i : -3
11: i : -3
12: i : -3
13: i : -3
14: i : -2
15: i : -2
16: i : -1
17: i : -1
18: i : -1
19: i : -1
20: i : -1
21: i : -1
22: i : 0
23: i : 0
24: i : 0
25: i : 0
26: i : 0
27: i : 0
28: i : 0
29: i : 0
30: i : 1
31: i : 1
32: i : 1
33: i : 1
34: i : 1
35: i : 2
36: i : 2
37: i : 2
38: i : 2
39: i : 2
40: i : 3
41: i : 3
42: i : 3
43: i : 3
44: i : 3
45: i : 4
46: i : 4
47: i : 4
48: i : 4
49: i : 4
50: d : 3.036016
51: d : 2.403025
52: d : 1.102479
53: d : 0.063708
54: d : -0.353871
55: d : -1.232818
56: d : -1.466090
57: d : -2.017571
58: d : -2.377564
59: d : -2.528600
60: d : -2.662784
61: d : -2.683365
62: d : -2.725701
63: d : -2.945561
64: d : -3.032810
65: d : -3.099421
66: d : -3.381267
67: d : -3.501200
68: d : -3.565518
69: d : -3.575433
70: d : -3.584155
71: d : -3.612614
72: d : -3.621266
73: d : -3.656268
74: d : -3.661582
75: d : -3.678757
76: d : -3.749638
77: d : -3.840830
78: d : -3.850851
79: d : -3.873047
80: d : -3.918387
81: d : -3.961509
82: d : -3.972077
83: d : -4.023560
84: d : -4.148066
85: d : -4.225882
86: d : -4.275697
87: d : -4.341511
88: d : -4.438327
89: d : -4.453007
90: d : -4.509815
91: d : -4.608814
92: d : -4.638514
93: d : -4.652863
94: d : -4.700358
95: d : -4.794482
96: d : -4.836672
97: d : -4.875308
98: d : -4.888050
99: d : -4.922920
_________TABLICA NR 5_________
0: i : -5
1: i : -5
2: i : -4
3: i : -4
4: i : -4
5: i : -4
6: i : -4
7: i : -4
8: i : -4
9: i : -4
10: i : -4
11: i : -3
12: i : -3
13: i : -3
14: i : -3
15: i : -3
16: i : -3
17: i : -2
18: i : -2
19: i : -2
20: i : -1
21: i : -1
22: i : -1
23: i : -1
24: i : -1
25: i : -1
26: i : -1
27: i : -1
28: i : 0
29: i : 0
30: i : 0
31: i : 0
32: i : 0
33: i : 1
34: i : 1
35: i : 1
36: i : 1
37: i : 2
38: i : 2
39: i : 2
40: i : 2
41: i : 2
42: i : 3
43: i : 3
44: i : 3
45: i : 3
46: i : 3
47: i : 4
48: i : 4
49: i : 4
50: d : 3.616992
51: d : 1.594033
52: d : 1.132210
53: d : -0.677736
54: d : -0.744365
55: d : -0.770598
56: d : -0.918943
57: d : -1.577278
58: d : -1.701022
59: d : -2.242249
60: d : -2.605081
61: d : -2.615887
62: d : -3.443061
63: d : -3.458624
64: d : -3.630324
65: d : -3.664876
66: d : -3.847264
67: d : -3.857209
68: d : -3.866487
69: d : -3.914633
70: d : -3.998326
71: d : -4.014501
72: d : -4.033526
73: d : -4.105500
74: d : -4.156162
75: d : -4.252607
76: d : -4.357924
77: d : -4.431372
78: d : -4.474824
79: d : -4.492846
80: d : -4.540434
81: d : -4.553453
82: d : -4.616675
83: d : -4.641422
84: d : -4.649939
85: d : -4.674545
86: d : -4.696980
87: d : -4.730382
88: d : -4.757621
89: d : -4.766771
90: d : -4.790050
91: d : -4.832617
92: d : -4.846909
93: d : -4.870322
94: d : -4.876390
95: d : -4.900878
96: d : -4.912053
97: d : -4.924828
98: d : -4.953673
99: d : -4.988763
